近世経済データベース（2018年3月1日）,,,,,,,,,,,,,,,
和暦,西暦,月日,天気,経済的事象,自然災害・災害など,騒動,金相場最小値,金相場最高値,金相場メモ,銭相場最小値,銭相場最高値,銭相場メモ,米相場,米相場メモ,備考
天明7年,1787年,1月1日,曇天,,,,,,,,,,,,「相庭立会なし」／※此日記録六拾七番ノ開巻ニ左ノ如キ註記アリ　今未年ヨリ改日々金錢米相庭並爲替之景気等此帳面ニ相記云々
天明7年,1787年,1月2日,曇天,,,,,,,,,,,,「相庭無立会」
天明7年,1787年,1月3日,曇天,,,,,,,,,,,,「相庭無立会」
天明7年,1787年,1月4日,天気,,,,57.7,57.9,,9.55,9.58,,106.2,肥後米,
天明7年,1787年,1月5日,晴天,,,,57.5,57.7,,9.65,,,106.6,肥後米,
天明7年,1787年,1月6日,曇天,,,,57,,,9.55,9.57,,,「休日」,
天明7年,1787年,1月7日,,,,,56.9,,,9.53,,,,「休日」,
天明7年,1787年,1月8日,,,,,56.4,56.5,,9.4,9.43,,107.5,肥後米,
天明7年,1787年,1月9日,晴天,正月４日に浜方年行司が大坂東町奉行所へ召しだされ、1万石あまりの買上米を仰せつけられたとの情報（京屋惣吉より）,,,56.6,56.7,,9.43,,,108.7,肥後米,
天明7年,1787年,1月10日,晴天、申中刻頃より雪,,,,56.7,56.8,,9.5,9.5,,,「休日」,
天明7年,1787年,1月11日,天気、余寒強、折々小雪降,,,,56.5,56.6,,9.56,9.57,,107.6,肥後米,
天明7年,1787年,1月12日,晴天,,,,56.4,56.5,,9.58,9.6,,109.9,肥後米,
天明7年,1787年,1月13日,天気、暖、今暮時過雨風雷鳴強,,,,56.4,56.5,,9.58,,,109.9,肥後米,
天明7年,1787年,1月14日,晴天、余寒,,,,56.4,56.5,,9.63,9.64,,,「休日」,
天明7年,1787年,1月15日,晴天,,,,55.2,,,8.9,,,110.2,肥後米,
天明7年,1787年,1月16日,晴天,,,,55.3,,,8.92,8.93,,,「休日」,
天明7年,1787年,1月17日,曇天,,,,55.54,55.55,,8.9,,,110.2,肥後米,
天明7年,1787年,1月18日,曇天、午の刻前より雨,,,,55.6,,,8.9,,,112.6,肥後米,
天明7年,1787年,1月19日,快晴,,,,56.1,56.2,,9.5,,,115,肥後米,
天明7年,1787年,1月20日,,,,,55.9,,,9.43,9.44,,,肥後米／「休日」,
天明7年,1787年,1月21日,晴天,大坂西町奉行所に十人両替が召しだされ、以前の通り、１００両の取引につき２５両分は弐朱判を通用するよう仰せ渡される,,,55.5,55.6,,9.45,9.47,,113.8,肥後米,
天明7年,1787年,1月22日,晴天,,,,55.3,55.4,,9.45,9.46,,112.7,肥後米,
天明7年,1787年,1月23日,晴天,,,,55.1,55.2,,9.41,,,111.6,肥後米,
天明7年,1787年,1月24日,雨天,,,,55.1,55.2,,9.38,9.39,,109.7,肥後米,
天明7年,1787年,1月25日,快晴,,,,55.01,,,9.42,,,,「休日」,
天明7年,1787年,1月26日,快晴,,,,55,,,9.25,9.26,,109.1,肥後米,
天明7年,1787年,1月27日,快晴,,,,54.7,54.8,,9.15,,,112,肥後米,
天明7年,1787年,1月28日,晴天,,,,54.2,54.3,,9,9.05,,,「休日」,
天明7年,1787年,1月29日,雨天,,,,54.1,,,8.93,8.95,,114,肥後米,
天明7年,1787年,1月30日,雨天,,,,54.1,54.2,,8.95,8.97,,114.4,肥後米,
天明7年,1787年,2月1日,晴天,,,,54.4,54.5,,9.13,9.15,,,「休日」,
天明7年,1787年,2月2日,快晴,,,,54.5,54.6,,9.21,,,115.3,肥後米,
天明7年,1787年,2月3日,雨天、八つ半頃より快晴,,,,54.2,54.3,,9.1,,,114.5,肥後米,
天明7年,1787年,2月4日,快晴、余寒,,,,54.2,54.3,,9.04,9.05,,112.5,肥後米,
天明7年,1787年,2月5日,天気,,,,54.45,,,9.04,9.05,,114.4,肥後米,
天明7年,1787年,2月6日,晴天,,,,54.4,54.5,,8.97,8.98,,114,肥後米,
天明7年,1787年,2月7日,晴天,,,,54.4,54.5,,8.98,,,,「休日」,
天明7年,1787年,2月8日,晴天,,,,55.1,55.2,,9.06,9.07,,114.7,肥後米,
天明7年,1787年,2月9日,晴天,,,,55.1,,,9.1,,,114.8,肥後米,
天明7年,1787年,2月10日,晴天、暖気,,,,54.9,55,,9.04,9.05,,112.4,肥後米,
天明7年,1787年,2月11日,晴天,,,,54.5,54.6,,9.01,,,109.5,肥後米,
天明7年,1787年,2月12日,晴天,,,,54.7,54.8,,9.09,,,108.8,肥後米,
天明7年,1787年,2月13日,雨天,,,,55.1,,,9.02,9.03,,111.5,肥後米,
